snp-dists 0.8.2	ERR1203059.vcf	ERR181435.vcf	ERR2659153.vcf	ERR2704678.vcf	ERR2704679.vcf	ERR2704687.vcf	ERR313115.vcf	ERR551620.vcf	ERR5987300.vcf	ERR5987352.vcf	ERR6362078.vcf	ERR6362138.vcf	ERR6362139.vcf	ERR6362156.vcf	ERR6362253.vcf	ERR6362333.vcf	ERR6362484.vcf	ERR6362653.vcf	SRR13046689.vcf	SRR998584.vcf
ERR1203059.vcf	0	990	968	830	669	727	10960	823	79	779	870	886	797	892	885	883	776	871	1066	799
ERR181435.vcf	990	0	1950	1666	1645	1711	11940	1810	1063	1609	1702	1712	1624	1718	1711	1709	1606	1697	2044	1788
ERR2659153.vcf	968	1950	0	1790	1631	1431	11917	1697	1047	1743	1834	1850	1761	1856	1849	1847	1740	1835	1634	1685
ERR2704678.vcf	830	1666	1790	0	1485	1553	11788	1647	851	1051	1052	1054	1067	1060	1055	1051	1048	1039	1884	1626
ERR2704679.vcf	669	1645	1631	1485	0	1388	11624	1490	748	1436	1525	1541	1454	1547	1540	1538	1433	1526	1729	1468
ERR2704687.vcf	727	1711	1431	1553	1388	0	11675	1462	806	1504	1591	1607	1522	1613	1606	1604	1501	1592	1435	1446
ERR313115.vcf	10960	11940	11917	11788	11624	11675	0	11777	11039	11737	11830	11846	11753	11852	11845	11843	11734	11831	12015	11755
ERR551620.vcf	823	1810	1697	1647	1490	1462	11777	0	902	1600	1691	1707	1618	1713	1706	1704	1597	1692	1771	388
ERR5987300.vcf	79	1063	1047	851	748	806	11039	902	0	814	791	807	832	813	806	804	811	812	1145	878
ERR5987352.vcf	779	1609	1743	1051	1436	1504	11737	1600	814	0	1085	1089	580	1095	1090	1086	3	1074	1837	1578
ERR6362078.vcf	870	1702	1834	1052	1525	1591	11830	1691	791	1085	0	22	1099	24	21	39	1082	213	1928	1669
ERR6362138.vcf	886	1712	1850	1054	1541	1607	11846	1707	807	1089	22	0	1103	10	5	21	1086	197	1944	1685
ERR6362139.vcf	797	1624	1761	1067	1454	1522	11753	1618	832	580	1099	1103	0	1109	1104	1100	577	1088	1855	1596
ERR6362156.vcf	892	1718	1856	1060	1547	1613	11852	1713	813	1095	24	10	1109	0	9	27	1092	201	1950	1691
ERR6362253.vcf	885	1711	1849	1055	1540	1606	11845	1706	806	1090	21	5	1104	9	0	22	1087	198	1943	1684
ERR6362333.vcf	883	1709	1847	1051	1538	1604	11843	1704	804	1086	39	21	1100	27	22	0	1083	196	1941	1682
ERR6362484.vcf	776	1606	1740	1048	1433	1501	11734	1597	811	3	1082	1086	577	1092	1087	1083	0	1071	1834	1575
ERR6362653.vcf	871	1697	1835	1039	1526	1592	11831	1692	812	1074	213	197	1088	201	198	196	1071	0	1927	1670
SRR13046689.vcf	1066	2044	1634	1884	1729	1435	12015	1771	1145	1837	1928	1944	1855	1950	1943	1941	1834	1927	0	1753
SRR998584.vcf	799	1788	1685	1626	1468	1446	11755	388	878	1578	1669	1685	1596	1691	1684	1682	1575	1670	1753	0
